Company Name;Specialized In;Address;Phone1;Phone2;Phone3;Phone4;Phone5;Email;Web;FB;LinkedIn
Deniz Ship Supply;"Forwarding & Logistics Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
Fire Fighting Equipment, 
Gases, 
IT Equipment, 
Life Saving Equipment";Evliya Celebi Mah. Nazan Sk. No:7 D:28 Tuzla, Istanbul / Turkey;"""+90 537 299 67 24""";No data;No data;No data;No data;technical@denizshipsupply.com, operation@denizshipsupply.com;http://www.denizshipsupply.com/;No data;No data
LEGEND Marine Technology Co., Ltd;"Fire Fighting Equipment Services, 
Forwarding & Logistics Services, 
Inventory of Hazardous Materials, 
Life Saving Equipment Services, 
NDT (Non-Destructive Testing), 
Radio & Navigation Services, 
Recruitment & Manning Services, 
Safety & Technical Inspections, 
Ship Spares & Stores, 
Accomodation Stores";No.2103-Unit 2 -A5 Building, Season Garden, Xugou Lianyun District, Lianyungang, P.R. China;"""＋86-15951255485  (24 hrs on duty)""";"""+ 86 -518  81061548""";No data;No data;No data;info@legendmarines.com;http://www.legendmarines.com/;No data;No data
Universal Marine Supply Ship Chandler & General Merchandise;"Forwarding & Logistics Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
Fire Fighting Equipment, 
Gases, 
IT Equipment, 
Life Saving Equipment";Blk 2 Lot 3 Scarlet St. Auburn Pace, Talon 1, Las Pinas City, 1740 - Philippines;"""+63 287 42008""";No data;No data;No data;No data;universalmarinesupply@hotmail.com;No data;No data;No data
Kayamar Ship Supply & Marine Services;"Boat Services, 
Fire Fighting Equipment Services, 
Forwarding & Logistics Services, 
Inventory of Hazardous Materials, 
Life Saving Equipment Services, 
NDT (Non-Destructive Testing), 
Safety & Technical Inspections, 
Ship Agency Services, 
Ship Spares & Stores, 
Accomodation Stores";HEAD OFFICE: Mustafa Kemal Mah.575 Sokak No:4/A  ISKENDERUN / HATAY / TURKEY ;"""+ (90) 326 6147480""";"""+90 (541) 2862753""";"""+ (90) 326 6147481""";No data;No data; info@kayamar.com, sales@kayamar.com;https://www.kayamar.net/;No data;No data
Shipping Solutions and Services Ltd™ (SSSL);"Bunkering, 
Forwarding & Logistics Services, 
Ship Agency Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Cargo Handling Equipment, 
Provisions, 
Reconditioned Ship Spares, 
Used Spare Parts, 
Slop, Sludge & Waste Disposal";Unit 22 One Woodbrook Place, Port Of Spain Trinidad;"""1-868-331-4699""";"""1-868-627-3627""";No data;No data;No data;mktg3@sssltt.com;www.ShippingSolutionsAndServicesLtd.com;No data;No data
Albonian Inspection Company;"Remote Surveys & Inspections, 
Safety & Technical Inspections, 
Ship Spares & Stores, 
Accomodation Stores, 
Chemical Products, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
Fire Fighting Equipment, 
Gases";Souq Algiuma Bab Tajura Services Road 2nd floor, Tripoli, Lybia;"""+ 218 92 517 4570""";No data;No data;No data;No data;info@albonian.net;http://www.albonian.net/;No data;No data
Aarcon marine services;"Ship Spares & Stores, 
Provisions";Kandla, India;"""7874049983""";No data;No data;No data;No data;supply@aarconmarineservices.com;No data;No data;No data
SEALION TRADING CO.;"Boat Services, 
Diving & Underwater Services, 
Fire Fighting Equipment Services, 
Forwarding & Logistics Services, 
Life Saving Equipment Services, 
NDT (Non-Destructive Testing), 
Safety & Technical Inspections, 
Ship Spares & Stores, 
Deck & Hatch Equipment, 
Electrical Spares & Stores";P.O box 2476, 77110, Aqaba, Jordan;"""+962 3 2030102""";No data;No data;No data;No data;supply@sealionjo.com;http://www.sealionjo.com;No data;No data
United Ship Management;"Boat Services, 
Diving & Underwater Services, 
Fire Fighting Equipment Services, 
Life Saving Equipment Services, 
Safety & Technical Inspections, 
Slop, Sludge & Waste Disposal";TR. Building, Barak Mia School Road, Chittagong- port, Bangladesh;"""+88-031-716093""";No data;No data;No data;No data;No data;http://www.usmbd.com;No data;No data
Lucky Dolphin Marine Services Co.;"Boat Services, 
Bunkering, 
Fire Fighting Equipment Services, 
Forwarding & Logistics Services, 
Life Saving Equipment Services, 
Radio & Navigation Services, 
Safety & Technical Inspections, 
Ship Agency Services, 
Ship Spares & Stores, 
Accomodation Stores";Headquarter 5 Moustafa Kamel St. Port Said - Egypt;"""(+2) 066 324 4848""";No data;No data;No data;No data;info@luckydolphin.com;https://luckydolphin.com/;No data;No data
Bluemar Co. Ltd.;"Boat Services, 
Fire Fighting Equipment Services, 
Forwarding & Logistics Services, 
Life Saving Equipment Services, 
NDT (Non-Destructive Testing), 
Radio & Navigation Services, 
Safety & Technical Inspections, 
Ship Agency Services, 
Ship Spares & Stores, 
Accomodation Stores";Varna, Bulgaria, 9000;"""‎+35952953066""";"""‎+359896752245""";"""‎+359888283548""";"""‎+359878152351""";No data;sales@bluemar.co, info@bluemar.co;http://www.bluemar.co/;No data;No data
RIGEL ENGINEERING SERVICES LIMITED;"Boat Services, 
Life Saving Equipment Services, 
Radio & Navigation Services, 
Safety & Technical Inspections, 
Ship Spares & Stores, 
Accomodation Stores, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
Gases";45 warf Road Apapa Lagos, Nigeria ;"""+2347038266020""";"""+2349016591510""";No data;No data;No data;rigelengineeringservicesltd2@yahoo.com;No data;No data;No data
Southern Marine Services;"Boat Services, 
Bunkering, 
Diving & Underwater Services, 
Fire Fighting Equipment Services, 
Forwarding & Logistics Services, 
Inventory of Hazardous Materials, 
Life Saving Equipment Services, 
NDT (Non-Destructive Testing), 
OWS & ODME services, 
Radio & Navigation Services";1557/255 Hazipara Singapore Market, Agrabad Excess Road,  Chittagong, Bangladesh;"""+880 31 724510""";No data;No data;No data;No data;technical@southern-marine.net;http://www.southern-marine.net/;No data;No data
SIA SOL S;"Boat Services, 
Fire Fighting Equipment Services, 
Forwarding & Logistics Services, 
Life Saving Equipment Services, 
Safety & Technical Inspections, 
Ship Agency Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Chemical Products, 
Deck & Hatch Equipment";Ozolu street 28 Jaunmarupe, Latvia LV-2167;"""+371 67 601 701""";No data;No data;No data;No data;supply@sol-s.lv;https://www.sol-s.lv;No data;No data
Baycorp Group;"Fire Fighting Equipment Services, 
Forwarding & Logistics Services, 
Safety & Technical Inspections, 
Ship Agency Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Air Conditioning Equipment, 
Cargo Handling Equipment, 
Chemical Products, 
Deck & Hatch Equipment";Kashfia Plaza (2nd Floor), 923/A Sk. Mujib Road, Agrabad C/A, Chittagong -4100, Bangladesh;"""+880 31 711625""";No data;No data;No data;No data;operation@baycorp-bd.com;https://baycorp-bd.com/;No data;No data
Seaworld Maritime;"Boat Services, 
Forwarding & Logistics Services, 
Ship Spares & Stores, 
Chemical Products, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
Gases, 
IT Equipment, 
Life Saving Equipment";-;"""+91 8050664668""";"""+91 8242483668""";No data;No data;No data;seaworldsupply@gmail.com, info@seaworldmaritime.co.in;http://ww.seaworldmaritime.co.in/;No data;No data
Supply Force One;"Boat Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
Gases, 
IT Equipment, 
Life Saving Equipment, 
Luboils";via Guido Agosti, 148 16152 - Genova, Italy;"""+39 010 45 58 180""";"""+39 345 2435480""";No data;No data;No data;info@supplyforceone.it;https://www.supplyforceone.it/;No data;No data
AYK PROVISION AND SHIP SUPPLY;"Ship Spares & Stores, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
Gases, 
IT Equipment, 
Life Saving Equipment, 
Provisions, 
Radio & Navigation Equipment, 
Yacht Equipment & Consumables";Konak Mah. Cumhuriyet Blv. Cumhuriyet Is Merkezi No:26 Ic Kapı No:601 Konak/IZMIR Turkey;"""+90 553 644 28 40""";No data;No data;No data;No data;info@olloyi.com.tr, sales@olloyi.com.tr;https://olloyi.com.tr/;No data;No data
OSS MARITIME GROUP PTY LTD;"Boat Services, 
Diving & Underwater Services, 
Fire Fighting Equipment Services, 
Forwarding & Logistics Services, 
Life Saving Equipment Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Air Conditioning Equipment, 
Ballast Equipment, 
Boilers & Heating Equipment";Dockland Highway 85 Moreland Street, Footscray, VIC 3011, Melbourne, Australia;"""+61-3-9687-6622""";"""+61-3-9687-6869""";No data;No data;No data;services@maritimegroup.com.au;http://www.ossmaritimegroup.com.au/;No data;No data
ANCHOR CONCIERGE LTD.;"Boat Services, 
Bunkering, 
Diving & Underwater Services, 
Fire Fighting Equipment Services, 
Radio & Navigation Services, 
Recruitment & Manning Services, 
Ship Agency Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Deck & Hatch Equipment";Falmouth Harbour Marina, English Harbour, Antigua, West Indies;"""+1 (268) 734-1865""";"""+1 (268) 734-1865""";"""+1 (268) 734-3865""";No data;No data;info@anchorcsys.com;https://anchorconciergeltd.com/;No data;No data
NORTH STAR SHIPPING LTD;"Boat Services, 
Forwarding & Logistics Services, 
Ship Agency Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
Gases, 
IT Equipment";#1 Yellow Pine Plaza Freeport, Grand Bahama Island, Bahamas;"""(242) 225-8706""";"""(242) 225-7824""";"""(954) 246-4957 (US Line)""";No data;No data;ops@ns-ship.com;https://northstarshipping.ltd/;No data;No data
KAIROS MARITIME;"Boat Services, 
Bunkering, 
Forwarding & Logistics Services, 
Recruitment & Manning Services, 
Ship Agency Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Chemical Products, 
Deck & Hatch Equipment, 
Electrical Spares & Stores";#1 Fishing Hole Road, Grand Bahama Island, Bahamas;"""+ 1242 352 2221""";"""+1 242 727 5007""";No data;No data;No data;ops@kairosmaritime.com;http://www.kairosmaritime.com/;No data;No data
Arising Ship Chandler (Arising Courier Service) Bahamas;"Boat Services, 
Bunkering, 
Forwarding & Logistics Services, 
Ship Agency Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
Gases";A.C.S Freeport #12 Lucaya Shopping Center. Freeport, Bahamas, P.O. Box F-44042;"""(242) 374 4864""";No data;No data;No data;No data;No data;http://arisingcourierservice.com/;No data;No data
Steyr Motors Betriebs GmbH;"Ship Spares & Stores, 
Engine Spares & Stores, 
Provisions, 
Yacht Equipment & Consumables";Im Stadtgut B1 A-4407 Steyr Austria;"""+43 7252 222 - 0""";"""+43 7252 222 - 29""";No data;No data;No data;No data;http://www.steyr-motors.com/;No data;No data
CHILE SHIPS SERVICES;"Boat Services, 
Forwarding & Logistics Services, 
Ship Agency Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Chemical Products, 
Container Equipment, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores";Avenida los valles 225, Pudahuel, Santiago, Chile;"""+56 9 39100152""";"""+56 9 39100153""";"""+56 9 39100154""";No data;No data;operations@chiless.cl;https://chiless.cl/;No data;No data
Organizações Anchor, Limitida;"Boat Services, 
Forwarding & Logistics Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Chemical Products, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
Gases, 
IT Equipment";Estrada direita de Cacuaco, Porto Pesqueiro da Boa Vista, Luanda, Luanda, 637 - Angola ;"""+244 918 84 47 26""";"""+244 924 08 10 38""";No data;No data;No data;shipping@organchor.com;https://www.organchor.com;No data;No data
Quality Maritime Provider Lda;"Boat Services, 
Bunkering, 
Fire Fighting Equipment Services, 
Forwarding & Logistics Services, 
Ship Agency Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Air Conditioning Equipment, 
Deck & Hatch Equipment, 
Electrical Spares & Stores";37, Dr Jose Perreira De Nascimento, Luanda, Angola;"""+244 923 327 050""";"""+244 923 440 459""";No data;No data;No data; angola@qmpangola.com, sss.angola@qmpangola.com;http://www.qmpangola.com/;No data;No data
Marintel;"Radio & Navigation Services, 
Ship Spares & Stores, 
Provisions, 
Radio & Navigation Equipment";111 Badamdar highway Sabail district, Baku, Azerbaijan, AZ1021;"""+994 12 3102038/39""";No data;No data;No data;No data;operations@marintel.com;https://www.marintel.com/;No data;No data
Ocean Fair International Group FZE;"Fire Fighting Equipment Services, 
Forwarding & Logistics Services, 
Life Saving Equipment Services, 
Radio & Navigation Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
Gases";National Industries Park, Jebel Ali, P.O. Box 263026 Dubai, UAE;"""+971 (4) 821 7333""";"""+971 (4) 821 7444""";No data;No data;No data;operations@oceanfair.com;http://www.oceanfair.com/;No data;No data
Al Jazeera Shipping Co.;"Boat Services, 
Bunkering, 
Forwarding & Logistics Services, 
Life Saving Equipment Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Cargo Handling Equipment, 
Chemical Products, 
Container Equipment, 
Deck & Hatch Equipment";Office 98, Road 42, Block 343 Mina Salman Industrial Area Kingdom of Bahrain;"""+973 17728837""";"""+97317728217""";No data;No data;No data;almelaha@ajsco.com;https://ajsco.com/;No data;No data
SEALANES;"Forwarding & Logistics Services, 
Life Saving Equipment Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Chemical Products, 
Container Equipment, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
Gases";178 Marine Terrace South Fremantle Western Australia 6162;"""+61 (08) 9432 8888""";"""+61 (08) 6270 5467""";No data;No data;No data;info@sealanes.com.au, foodservice@sealanes.com.au;https://www.sealanes.com.au/;No data;No data
Navalia S.A.;"Forwarding & Logistics Services, 
Life Saving Equipment Services, 
Ship Agency Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Cargo Handling Equipment, 
Chemical Products, 
Container Equipment, 
Deck & Hatch Equipment, 
Electrical Spares & Stores";25 de Mayo 250 , Off. 3 9410 Ushuaia Argentina;"""+54 2901 432749""";"""+54 2901 424470""";No data;No data;No data;shipsuppliers@navalia.com.ar;No data;No data;No data
Mario Tsioulis S.A.;"Boat Services, 
Forwarding & Logistics Services, 
Life Saving Equipment Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Cargo Handling Equipment, 
Chemical Products, 
Container Equipment, 
Deck & Hatch Equipment, 
Electrical Spares & Stores";Chacabuso 2014 S2000FIH Rosario Santa Fe Argentina;"""+54 341 482 7510""";"""+54 341 485 0006""";"""+54 9 341 468 7253""";"""+54 9 341 402 7139""";No data;info@tsioulis.com;No data;No data;No data
INS ARGENTINA SRL;"Boat Services, 
Forwarding & Logistics Services, 
Life Saving Equipment Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Cargo Handling Equipment, 
Chemical Products, 
Container Equipment, 
Deck & Hatch Equipment, 
Electrical Spares & Stores";Pacto Federal 8535, Rosario, Santa Fe, Argentina;"""+54 341 2221554""";"""+54 9 341 6489053 (24/7)""";No data;No data;No data;info@insarg.com;https://www.insarg.com/;No data;No data
Barcelo Ship Supply S.R.L.;"Boat Services, 
Forwarding & Logistics Services, 
Life Saving Equipment Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Chemical Products, 
Container Equipment, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores";San Lorenzo 4440, S2002KRH Rosario, Argentina;"""+ 54 341 439 4809""";"""+54 341 438 1413""";No data;No data;No data;barcelo@barcelohnos.com;http://barcelohnos.com/;No data;No data
Whale Maritime;"Ship Spares & Stores, 
Accomodation Stores, 
Air Conditioning Equipment, 
Ballast Equipment, 
Boilers & Heating Equipment, 
Chemical Products, 
Container Equipment, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores";Valencia;"""0034961160264""";No data;No data;No data;No data;sales@whalemaritime.com;WhaleMaritime;No data;No data
Njord Ship Supply;"Boat Services, 
Life Saving Equipment Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
Gases, 
IT Equipment, 
Medical Supply";Urbanización Zarabon, Conjunto, Residencial Balcones de Paraguana II, Torre 23 – 3C. Punto Fijo Estado, Falcon, Peninsula de Paraguana, Venezuela;"""+58 269 248 1271""";No data;No data;No data;No data;info@njordagency.com.ve;http://njordagency.com.ve/;No data;No data
Admiral Harding Ltd;"Boat Services, 
Forwarding & Logistics Services, 
Life Saving Equipment Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
IT Equipment, 
Provisions";Unit C The Nova Distribution Centre Nova Way Avonmouth Bristol BS11 9DJ UK;"""+44 117 982 1229""";"""+44 1454 294381""";No data;No data;No data;info@admiralharding.com;http://www.admiralharding.com;No data;No data
United Shipchandlers Ltd.;"Forwarding & Logistics Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
Gases, 
IT Equipment, 
Life Saving Equipment, 
Luboils";Unit 4, 8/F., Asia Logistics, Hub – SF Centre,  36 Hong Wan Road,  Tsing Yi, N.T. Hong Kong;"""+852 2816 7228""";"""+852 6684 2661""";"""+852 5606 3912""";"""+852 6198 7753""";No data;info@unitedshipchandlers.com;http://www.unitedshipchandlers.com/;No data;No data
Berg & Larsen A/S;"Forwarding & Logistics Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Air Conditioning Equipment, 
Ballast Equipment, 
Boilers & Heating Equipment, 
Cargo Handling Equipment, 
Chemical Products, 
Container Equipment, 
Deck & Hatch Equipment";Baldersbuen 29B DK 2640 Hedehusene Denmark;"""+45 7244 0300""";"""+45 4656 5711""";No data;No data;No data;spares@berg-larsen.com;https://berg-larsen.com/;No data;No data
World Seas Ship Chandlers;"Boat Services, 
Forwarding & Logistics Services, 
Life Saving Equipment Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Chemical Products, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
Gases";P.O. Box 11836 , Diplomatic Area, Manama, Kingdom of Bahrain;"""+973 77004681/2""";"""+973 17331071""";"""+973 77068177""";No data;No data;"info@wsssportservices.com; info@wsshipchandlers.com";http://www.wsssportservices.com/;No data;No data
Victory Marine Services W.L.L.;"Forwarding & Logistics Services, 
Life Saving Equipment Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
Gases, 
IT Equipment, 
Medical Supply";Office No 12, Building No 21, Road 384, Block 306, P.O. Box 54328, Manama, Kingdom of Bahrain;"""+973 1770 2731""";"""+973 1770 2741""";No data;No data;No data;opsbahrain@vms-world.com;https://www.vms-world.com;No data;No data
Seven Seas Marine Services W.L.L.;"Forwarding & Logistics Services, 
Life Saving Equipment Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Chemical Products, 
Container Equipment, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
Gases";Hidd Industrial Area, LVM Logistics Village, Warehouse #11,Block # 115, Building # 2547, Road # 1535 Hidd, Kingdom of Bahrain;"""+973 17 592292""";"""+973 17 592293""";No data;No data;No data;supply.bahrain@sevenseasgroup.com;http://www.sevenseasgroup.com/;No data;No data
Fine Foods;"Ship Spares & Stores, 
Provisions";P.O Box 302 - Manama, Kingdom of Bahrain;"""+973 17729595""";"""+973 17729596""";No data;No data;No data;"sales@finefoodsbah.com; shipchandling@finefoodsbah.com";http://www.finefoodsbah.com/;No data;No data
Carlton & United Breweries;"Ship Spares & Stores, 
Provisions";77 Southbank Boulevard Southbank Victoria 3006 Australia;"""+61 3 8626 2000""";No data;No data;No data;No data;cubcccdutyfree@cub.com.au;http://www.cub.com.au;No data;No data
Total Marine Supply & Logistics Pty Ltd;"Boat Services, 
Forwarding & Logistics Services, 
Life Saving Equipment Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Chemical Products, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
Gases";2/680 Somerville Rd, Sunshine West VIC 3020 Australia;"""+61 (03) 9311 4800""";"""+61 (03) 9311 3077""";No data;No data;No data;sales@totalmarine.net.au;http://www.totalmarine.net.au/;No data;No data
Pegasus Supply Solutions;"Ship Spares & Stores, 
IT Equipment, 
Provisions";71-73 Railway Parade Marrickville NSW 2204 Australia;"""+61 2 8307 0765""";No data;No data;No data;No data;info@pegasussupply.com.au;http://www.pegasussupply.com.au/;No data;No data
Interport Marine Pty Ltd;"Ship Spares & Stores, 
Accomodation Stores, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
IT Equipment, 
Provisions";Unit 2, 6 Depot Road Mortdale NSW 2223 Australia;"""+61 2 9153 7555""";"""+61 2 9153 7588""";No data;No data;No data;info@interportmarine.com.au;http://www.interportmarine.com.au;No data;No data
Global Machinery Technologies Pty Ltd;"Ship Spares & Stores, 
Accomodation Stores, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
IT Equipment, 
Provisions";Suite 34/ 370 The Kingsway Caringbah, Sydney NSW 2229 Australia;"""+61 2 8536 0777""";No data;No data;No data;No data;support@globalmachinery.net.au;http://www.globalmachinery.net.au;No data;No data
Ocean Services (Newcastle) Pty Ltd;"Ship Spares & Stores, 
Accomodation Stores, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
IT Equipment, 
Provisions";Unit 3/34 Portside Crescent, Wickham NSW 2293 Australia;"""+61 2 4962 4224""";"""+61 2 4962 4223""";No data;No data;No data;newcastle@oceanservices.com.au;http://www.oceanservices.com.au/;No data;No data
NK Marine Pty Ltd;"Ship Spares & Stores, 
Accomodation Stores, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
IT Equipment, 
Provisions, 
Radio & Navigation Equipment";Unit 34, 54 Clyde Street Hamilton North NSW 2292 Australia;"""+61 2 4965 4622""";"""+61 2 4961 5728""";No data;No data;No data;newcastle@nkmarine.com.au;http://nkmarine.com.au;No data;No data
Golden Harvest Australia Pty Ltd;"Ship Spares & Stores, 
Accomodation Stores, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
IT Equipment, 
Provisions";FY20, 100-104 Pipe Rd., Laverton North Victoria 3026 Australia;"""+61 3 8360 3984""";"""+61 3 8360 3985""";No data;No data;No data;australia@cn-goldenharvest.com;http://cn-goldenharvest.com;No data;No data
Tasmanian Shipping Supplies;"Boat Services, 
Forwarding & Logistics Services, 
Life Saving Equipment Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Chemical Products, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
Gases";Port Tower Building, 18 Hunter Street Hobart, Tasmania 7000 Australia;"""+61 3 6235 7100""";No data;No data;No data;No data;tasshipping@fader.com.au;https://www.tasshipping.com/;No data;No data
Vikki Ship Supplies Pty Ltd;"Forwarding & Logistics Services, 
Life Saving Equipment Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
Gases, 
IT Equipment, 
Provisions";36 Toolooa Street Gladstone Queensland 4680 Australia;"""+61 7 4972 0011""";"""+61 7 4972 7600""";No data;No data;No data;sales@vikkishipsupplies.com.au;No data;No data;No data
Australian Providoring & Trading Co;"Ship Spares & Stores, 
Accomodation Stores, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
IT Equipment, 
Provisions";PO Box 185 Banyo Queensland 4014 Australia;"""+61 7 3267 0600""";"""+61 7 3267 0700""";No data;No data;No data;shipsup@marinesupply.com.au;http://www.marinesupply.com.au;No data;No data
Sinwa Australia Pty Ltd;"Forwarding & Logistics Services, 
Life Saving Equipment Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Cargo Handling Equipment, 
Chemical Products, 
Container Equipment, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores";39 Jessie Lee Street Henderson Western Australia 6166;"""+61 8 9494 7500""";"""+61 8 9437 3957""";No data;No data;No data;"australia@sinwaglobal.com; sales.perth@sinwaglobal.com";http://www.sinwaglobal.com/;No data;No data
Allstates Marine & Food Services;"Ship Spares & Stores, 
Provisions";71 Cocos Drive Bibra Lake, WA 6163 Australia;"""+61 409 908 879""";No data;No data;No data;No data;sales@allstatesmarine.com.au;http://www.allstatesmarine.com.au;No data;No data
Southern Cross Marine Supplies Pty Ltd.;"Boat Services, 
Forwarding & Logistics Services, 
Life Saving Equipment Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Chemical Products, 
Container Equipment, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores";120 Commercial road Port Adelaide SA 5015 Australia;"""+61 8 8241 0143""";"""+61 8 8241 0402""";No data;No data;No data;gsm@scms.com.au;http://www.scms.com.au/;No data;No data
Coast to Coast Services Pty Ltd;"Life Saving Equipment Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
IT Equipment, 
Mooring Equipment, 
Provisions";PO BOX 447 Port Adelaide, South Australia 5015;"""+61 8 8240 0450""";"""+61 8 8240 0449""";No data;No data;No data;sales@coast2coastservices.com;http://www.coast2coastservices.com/;No data;No data
Prompt Suppliers S.A.;"Life Saving Equipment Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Chemical Products, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
IT Equipment, 
Provisions, 
Radio & Navigation Equipment";Caboto 1043 C1157 Buenos Aires Argentina;"""+54 11 4300 6804 / 5441 / 6807""";"""+54 911 60984931""";"""+54 911 60983620""";No data;No data;sales@promptsuppliers.com;No data;No data;No data
Mattina Hnos. S.A.C.I.A.N.;"Life Saving Equipment Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Air Conditioning Equipment, 
Chemical Products, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
IT Equipment, 
Provisions";G. A. de Lamadrid 434 C1166AAH Buenos Aires Argentina;"""+54 11 4303 2293-6""";"""+54 11 4303 2431 (Fax)""";No data;No data;No data;ops@mattina-sa.com.ar;https://www.mattina-sa.com.ar/en/english/;No data;No data
J C Marsano S.R.L.;"Ship Spares & Stores, 
Accomodation Stores, 
Air Conditioning Equipment, 
Chemical Products, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
IT Equipment, 
Provisions";G A De Lamadrid 334 C1166AAH Buenos Aires Argentina;"""+54 11 4301 3424 / 0749""";No data;No data;No data;No data;"juancarlos@marsanogroup.com; oscar@marsanogroup.com";No data;No data;No data
IFISA S.A.;"Ship Spares & Stores, 
Accomodation Stores, 
Air Conditioning Equipment, 
Ballast Equipment, 
Boilers & Heating Equipment, 
Cargo Handling Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
IT Equipment, 
Provisions";BUCARELLI 1169 PARQUE CHAS, C1427BDE C.A.B.A, ARGENTINA;"""+54 11 5648 6648""";"""+54 11 5648 6649""";"""+54 11 4523 0042""";No data;No data;shipsupplier@ifisa.com, ventas@ifisa.com;http://www.ifisa.com/;No data;No data
